"x","y","month","Population","dengue_cases","chik_cases","dengue_cases_confirmed","chik_cases_confirmed","release_zone","nb_trap_collections","aegypti_captured","wmel_aegypti_captured","wmel_pctg"
687293.459172921,7477843.1164987,2010-01-01,3774.95372772217,0,NA,0,NA,"RJ1",0,NA,NA,NA
687293.459172921,7478343.1164987,2010-01-01,3748.95924377441,1,NA,1,NA,"RJ1",0,NA,NA,NA
687293.459172921,7478843.1164987,2010-01-01,5791.56714630127,0,NA,0,NA,"RJ1",0,NA,NA,NA
687293.459172921,7479343.1164987,2010-01-01,81.375678062439,0,NA,0,NA,"RJ1",0,NA,NA,NA
687293.459172921,7479843.1164987,2010-01-01,30.532748490572,0,NA,0,NA,"RJ1",0,NA,NA,NA
687793.459172921,7473843.1164987,2010-01-01,26.2060492038727,0,NA,0,NA,"RJ1",0,NA,NA,NA
687793.459172921,7474343.1164987,2010-01-01,339.816579341888,0,NA,0,NA,"RJ1",0,NA,NA,NA
687793.459172921,7474843.1164987,2010-01-01,2021.49019145966,0,NA,0,NA,"RJ1",0,NA,NA,NA
687793.459172921,7475343.1164987,2010-01-01,100.233009338379,0,NA,0,NA,"RJ1",0,NA,NA,NA
687793.459172921,7477843.1164987,2010-01-01,218.947568893433,0,NA,0,NA,"RJ1",0,NA,NA,NA
687793.459172921,7478343.1164987,2010-01-01,3467.66080093384,0,NA,0,NA,"RJ1",0,NA,NA,NA
687793.459172921,7478843.1164987,2010-01-01,2508.25977706909,0,NA,0,NA,"RJ1",0,NA,NA,NA
687793.459172921,7479343.1164987,2010-01-01,54.9775608181953,0,NA,0,NA,"RJ1",0,NA,NA,NA
688293.459172921,7474843.1164987,2010-01-01,190.776495933533,0,NA,0,NA,"RJ1",0,NA,NA,NA
688293.459172921,7475343.1164987,2010-01-01,37.4141807556152,0,NA,0,NA,"RJ1",0,NA,NA,NA
688293.459172921,7475843.1164987,2010-01-01,73.4048938751221,0,NA,0,NA,"RJ1",0,NA,NA,NA
688293.459172921,7478343.1164987,2010-01-01,894.665768623352,0,NA,0,NA,"RJ1",0,NA,NA,NA
688293.459172921,7478843.1164987,2010-01-01,349.152038097382,0,NA,0,NA,"RJ1",0,NA,NA,NA
688293.459172921,7479343.1164987,2010-01-01,13.1691311299801,0,NA,0,NA,"RJ1",0,NA,NA,NA
688793.459172921,7475843.1164987,2010-01-01,66.1759307384491,0,NA,0,NA,"RJ1",0,NA,NA,NA
688793.459172921,7476343.1164987,2010-01-01,22.6356000900269,0,NA,0,NA,"RJ1",0,NA,NA,NA
688793.459172921,7478843.1164987,2010-01-01,75.6979651451111,0,NA,0,NA,"RJ1",0,NA,NA,NA
688793.459172921,7479343.1164987,2010-01-01,106.21596083045,0,NA,0,NA,"RJ1",0,NA,NA,NA
688793.459172921,7479843.1164987,2010-01-01,23.0437498390675,0,NA,0,NA,"RJ1",0,NA,NA,NA
689293.459172921,7479343.1164987,2010-01-01,29.1388030648232,0,NA,0,NA,"RJ1",0,NA,NA,NA
689293.459172921,7480343.1164987,2010-01-01,15.5494414120913,0,NA,0,NA,"RJ1",0,NA,NA,NA
673293.459172921,7474343.1164987,2010-01-01,4947.88875579834,0,NA,0,NA,"RJ2",0,NA,NA,NA
673293.459172921,7474843.1164987,2010-01-01,3036.21766853333,0,NA,0,NA,"RJ2",0,NA,NA,NA
673793.459172921,7474343.1164987,2010-01-01,3899.00635147095,0,NA,0,NA,"RJ2",0,NA,NA,NA
673793.459172921,7474843.1164987,2010-01-01,3063.47148513794,0,NA,0,NA,"RJ2",0,NA,NA,NA
674293.459172921,7474343.1164987,2010-01-01,4998.17336273193,0,NA,0,NA,"RJ2",0,NA,NA,NA
